merged_id,match_type,address_score,name_score,city,name,address,lat,lon,rooms_number,ostrovok_ota_hotel_id,ostrovok_master_id,ostrovok_name,ostrovok_address,ostrovok_url,ostrovok_rooms_number,tvil_hotel_id,tvil_name,tvil_address,tvil_url,tvil_rooms_number
44,name,93,100,Байкальск,Отель Гранд Байкал,"мкр. Красный Ключ, 91, Байкальск",51.509495,104.120804,64,grand_baikal,8481257,Отель Гранд Байкал,"мкр. Красный Ключ, 91, Байкальск",https://ostrovok.ru/hotel/russia/irkutsk/mid8481257/grand_baikal,64,1277758,"Отель ""Гранд Байкал""","Байкальск, Слюдянский район, Байкальск, квартал Красный Ключ, 91",https://tvil.ru/city/baikalsk/hotels/1277758/,64
45,name,89,100,Иркутск,Гостиница У Истока,"Ржанова ул., д. 43, Иркутск",52.252934,104.36322,24,u_istoka_hotel,7675302,Гостиница У Истока,"Ржанова ул., д. 43, Иркутск",https://ostrovok.ru/hotel/russia/irkutsk/mid7675302/u_istoka_hotel,24,1382100,"Гостиница ""У Истока""","Иркутск, улица Ржанова, 43",https://tvil.ru/city/irkutsk/hotels/1382100/,24
46,name,82,100,Сарма,Парк-Отель Алтан,"тер. база отдыха Алтан, стр. 1, Сарма",53.08592,106.799416,21,recreation_complex_altan,7613629,Парк-Отель Алтан,"тер. база отдыха Алтан, стр. 1, Сарма",https://ostrovok.ru/hotel/russia/irkutsk/mid7613629/recreation_complex_altan,21,1993192,"Парк-отель ""Алтан""","деревня Сарма, территория база отдыха «Алтан», б/н",https://tvil.ru/city/derevnya-sarma/hotels/1993192/,21
47,unmatched_ostrovok,,,Иркутск,Гостиница Виктория,"улица Богдана Хмельницкого, д.1 Иркутск, Россия, Иркутск",52.283413,104.28748,30,victory_hotel_4,8457230,Гостиница Виктория,"улица Богдана Хмельницкого, д.1 Иркутск, Россия, Иркутск",https://ostrovok.ru/hotel/russia/irkutsk/mid8457230/victory_hotel_4,30,,,,,
48,unmatched_ostrovok,,,Листвянка,Отель Вера Байкал,"улица Горького, 8, Листвянка",51.843483,104.87859,38,vera_baikal,13308776,Отель Вера Байкал,"улица Горького, 8, Листвянка",https://ostrovok.ru/hotel/russia/irkutsk/mid13308776/vera_baikal,38,,,,,
49,unmatched_ostrovok,,,Иркутск,Отель Ибис Иркутск Центр,"улица Полины Осипенко, дом 5, Иркутск",52.28745,104.27029,128,ibis_irkutsk_center,8734978,Отель Ибис Иркутск Центр,"улица Полины Осипенко, дом 5, Иркутск",https://ostrovok.ru/hotel/russia/irkutsk/mid8734978/ibis_irkutsk_center,128,,,,,
50,unmatched_ostrovok,,,Хужир,Ольхон стори,"улица Народная, д.19, Хужир",53.197918,107.35988,6,olkhonstory_guest_house,8876953,Ольхон стори,"улица Народная, д.19, Хужир",https://ostrovok.ru/hotel/russia/irkutsk/mid8876953/olkhonstory_guest_house,6,,,,,
51,unmatched_ostrovok,,,Иркутск,Квартира в центре Иркутска,"улица Российская, д. 14А, Иркутск",52.28573,104.27709,,dizajnerskaya_kvartira_v_tsentre_irkutska,9995434,Квартира в центре Иркутска,"улица Российская, д. 14А, Иркутск",https://ostrovok.ru/hotel/russia/irkutsk/mid9995434/dizajnerskaya_kvartira_v_tsentre_irkutska,,,,,,
52,unmatched_ostrovok,,,Иркутск,Отель Европа,"улица Байкальская, д.69, Иркутск",52.274567,104.304855,58,evropa_hotel,7828771,Отель Европа,"улица Байкальская, д.69, Иркутск",https://ostrovok.ru/hotel/russia/irkutsk/mid7828771/evropa_hotel,58,,,,,
53,unmatched_ostrovok,,,Иркутск,Отель Иркутск Сити Центр,"ул. Чкалова, д. 15, Иркутск",52.28786,104.27297,206,irkutsk_city_center,13384478,Отель Иркутск Сити Центр,"ул. Чкалова, д. 15, Иркутск",https://ostrovok.ru/hotel/russia/irkutsk/mid13384478/irkutsk_city_center,206,,,,,
