ota_hotel_id,master_id,name,name_en,city,address,latitude,longitude,url,rooms_number,first_seen_date,last_seen_date
miniotel_medveditsa,10019685,Меблированные комнаты Медведица,Medveditsa,Большое Голоустное,"улица Кирова,д. 132а, Большое Голоустное",52.02641,105.39498,https://ostrovok.ru/hotel/russia/irkutsk/mid10019685/miniotel_medveditsa,,2026-03-17,2026-09-10
lotos_hotel,7744038,Отель Лотос,Lotos Hotel,Иркутск,"Байкальская улица, д.14 Б, Иркутск",52.278976,104.29911,https://ostrovok.ru/hotel/russia/irkutsk/mid7744038/lotos_hotel,23,2026-03-17,2026-09-10
lada_8,8878913,Отель Гостиница ЛАДА,Gostinitsa LADA Hotel,Хужир,"улица Таёжная, д.30, Хужир",53.189693,107.34768,https://ostrovok.ru/hotel/russia/irkutsk/mid8878913/lada_8,22,2026-03-17,2026-09-10
nochleg_i_zavtrak_bb_shambala,10012287,Загородный отель Шамбала,Shambala Country Hotel,Хужир,"ул Северная, з/у 12А, Хужир",53.19933,107.3538,https://ostrovok.ru/hotel/russia/irkutsk/mid10012287/nochleg_i_zavtrak_bb_shambala,10,2026-03-17,2026-09-10
baykal_khan_listvyanka,10360512,Отель Байкал Хан п.Листвянка,Baykal Khan p. Listvyanka Hotel,Листвянка,"рп. Листвянка, ул Гудина, д. 22а, Листвянка",51.846184,104.878456,https://ostrovok.ru/hotel/russia/irkutsk/mid10360512/baykal_khan_listvyanka,18,2026-03-17,2026-09-10
hotel_barguzin,10012829,Меблированные комнаты Баргузин,Barguzin,Хужир,"улица Ворошилова, д.23А, Хужир",53.19983,107.35153,https://ostrovok.ru/hotel/russia/irkutsk/mid10012829/hotel_barguzin,,2026-03-17,2026-09-10
best_eastern_hotel_zvezda,7806155,Отель Звезда,Star Hotel,Иркутск,"улица Ядринцева, д. 1Ж, Иркутск",52.277885,104.33643,https://ostrovok.ru/hotel/russia/irkutsk/mid7806155/best_eastern_hotel_zvezda,65,2026-03-17,2026-09-10
otel_tsentral,8748836,Отель Централь,Central Hotel,Иркутск,"переулок Богданова 8, Иркутск",52.286674,104.285194,https://ostrovok.ru/hotel/russia/irkutsk/mid8748836/otel_tsentral,48,2026-03-17,2026-09-10
kupechesky_dvor_hotel,8059354,Отель Купеческий Дворъ,Kupecheskij Dvor Hotel,Иркутск,"улица Седова, д.10, Иркутск",52.27513,104.28797,https://ostrovok.ru/hotel/russia/irkutsk/mid8059354/kupechesky_dvor_hotel,14,2026-03-17,2026-09-10
baikalskie_prostory,8476361,Байкальские просторы,Bajkalskie Prostoryi,Листвянка,"улица Чапаева, д. 41, Листвянка",51.85426,104.8729,https://ostrovok.ru/hotel/russia/irkutsk/mid8476361/baikalskie_prostory,8,2026-03-17,2026-04-03
legend_of_baikal,7776712,Отель Легенда Байкала,Legenda Bajkala Hotel,Листвянка,"Улица Исток Ангары, д.11, Листвянка",51.87289,104.828636,https://ostrovok.ru/hotel/russia/irkutsk/mid7776712/legend_of_baikal,35,2026-03-17,2026-09-10
baikal_view_hotel,7681558,Baikal View Hotel,Baikal View Hotel,Хужир,"улица Российская, д. 17, Хужир",53.1781,107.30675,https://ostrovok.ru/hotel/russia/irkutsk/mid7681558/baikal_view_hotel,99,2026-03-17,2026-09-10
baykal_khan_hotel_olkhon,6848973,Отель Байкал-Хан Ольхон,Bajkal-Han Olhon Hotel,Хужир,"улица Ворошилова, д. 18, Хужир",53.19855,107.351166,https://ostrovok.ru/hotel/russia/irkutsk/mid6848973/baykal_khan_hotel_olkhon,40,2026-03-17,2026-09-10
archi_apt_apartments,10211904,Отель Baikal Archi Apt,Baikal Archi Apt Hotel,Иркутск,"ул Некрасова, стр. 3а, помещ. 2, Иркутск",52.289085,104.28417,https://ostrovok.ru/hotel/russia/irkutsk/mid10211904/archi_apt_apartments,7,2026-03-17,2026-09-10
less_guest_house,11308288,Меблированные комнаты Лесс,Less Living quarters,Листвянка,"улица Куликова, д. 102а, Листвянка",51.86491,104.86681,https://ostrovok.ru/hotel/russia/irkutsk/mid11308288/less_guest_house,,2026-03-17,2026-09-10
mini_hotel_vizit,13384141,Гостиница Визит,Hotel Vizit,Иркутск,"ул Софьи Перовской, стр. 30, помещ. 4, Иркутск",52.28137,104.30118,https://ostrovok.ru/hotel/russia/irkutsk/mid13384141/mini_hotel_vizit,8,2026-03-17,2026-09-10
parus_18,9996236,Курортный отель Парус,Parus Hotel,Листвянка,"улица Горького, д.93А, Листвянка",51.846233,104.875244,https://ostrovok.ru/hotel/russia/irkutsk/mid9996236/parus_18,17,2026-03-17,2026-09-10
malinovka_3,9079016,Малиновка,Malinovka,Листвянка,"улица Суворова, д. 5а, Листвянка",51.864937,104.84327,https://ostrovok.ru/hotel/russia/irkutsk/mid9079016/malinovka_3,,2026-03-17,2026-09-10
hotel_rodina_grand_hotel_spa_irkutsk_5,11200427,Отель RODINA Grand Hotel & SPA Irkutsk 5*,Hotel Rodina Grand Hotel & Spa Irkutsk 5*,Иркутск,"ул. Николая Гаврилова, стр. 2, Иркутск",52.290024,104.26961,https://ostrovok.ru/hotel/russia/irkutsk/mid11200427/hotel_rodina_grand_hotel_spa_irkutsk_5,79,2026-03-17,2026-09-10
armat_hotel,8755884,Отель Армат,Armat Hotel,Иркутск,"улица Ширямова, д.33, Иркутск",52.256546,104.34678,https://ostrovok.ru/hotel/russia/irkutsk/mid8755884/armat_hotel,40,2026-03-17,2026-09-10
irkutsk_city_lodge,7729360,Отель Иркутск Сити Лодж,Irkutsk City Lodge Hotel,Иркутск,"ул Байкальская, д. 124/3, Иркутск",52.262657,104.309784,https://ostrovok.ru/hotel/russia/irkutsk/mid7729360/irkutsk_city_lodge,4,2026-03-17,2026-09-10
vesta_hotel_3,10669982,Отель Веста,Vesta Hotel,Иркутск,"улица Сурнова, д.30/1, Иркутск",52.31273,104.290436,https://ostrovok.ru/hotel/russia/irkutsk/mid10669982/vesta_hotel_3,27,2026-03-17,2026-07-09
alaniya,10003444,Алания,Alaniya,Листвянка,"улица Суворова, д.5В, Листвянка",51.86549,104.84128,https://ostrovok.ru/hotel/russia/irkutsk/mid10003444/alaniya,,2026-03-17,2026-09-10
royal_hotel_33,6362904,Отель Рояль,Royal Hotel,Иркутск,"улица Декабрьских событий, д. 31, Иркутск",52.28928,104.29745,https://ostrovok.ru/hotel/russia/irkutsk/mid6362904/royal_hotel_33,27,2026-03-17,2026-09-10
kalina_house_olkhon_baikal_guest_house,10608446,Конкордия,Konkordiya,Хужир,"улица Народная, д.15, поселок Хужир, Хужир",53.197468,107.35915,https://ostrovok.ru/hotel/russia/irkutsk/mid10608446/kalina_house_olkhon_baikal_guest_house,8,2026-03-17,2026-06-07
beliy_sobol_parkhotel,8571122,Парк-отель Белый Соболь,Beliy Sobol Park-Hotel,Байкальск,"мкрн. Красный Ключ, д.93, Байкальск",51.510708,104.119865,https://ostrovok.ru/hotel/russia/irkutsk/mid8571122/beliy_sobol_parkhotel,32,2026-03-17,2026-09-10
v_samom_tsentre_irkutska_minihotel,10664878,Отель В Сердце Иркутска,V Serdce Irkutska Hotel,Иркутск,"Киевская улица, д.34А, Иркутск",52.27854,104.29063,https://ostrovok.ru/hotel/russia/irkutsk/mid10664878/v_samom_tsentre_irkutska_minihotel,6,2026-03-17,2026-09-10
atlas_hotel_3,7883850,Гостиница Атлас,Atlas Hotel,Иркутск,"проезд Атласова, д.9, Иркутск",52.264576,104.32704,https://ostrovok.ru/hotel/russia/irkutsk/mid7883850/atlas_hotel_3,29,2026-03-17,2026-09-10
krestovaya_pad_hotel,7784565,Гостиница Крестовая падь,Krestovaya pad hotel,Листвянка,"ул. Горная, 14-А, Листвянка",51.85812,104.86028,https://ostrovok.ru/hotel/russia/irkutsk/mid7784565/krestovaya_pad_hotel,27,2026-03-17,2026-09-10
bajkalkemp,8742801,Байкал-кэмп,Baykal-kemp,Бугульдейка,"Россия, Иркутская область, Бугульдейка, ул. Пушкина, д. 15, Бугульдейка",52.537403,106.05819,https://ostrovok.ru/hotel/russia/irkutsk/mid8742801/bajkalkemp,,2026-03-17,2026-08-18
hotel_kosmos_5,10212636,Отель Космос,Hotel Kosmos,Байкальск,"Гагарина микрорайон, 2а, Байкальск",51.521896,104.15169,https://ostrovok.ru/hotel/russia/irkutsk/mid10212636/hotel_kosmos_5,16,2026-03-17,2026-09-10
gostevoj_dom_na_zvezdinskoj,6827039,Отель на Звездинской,Na Zvezdinskoj Hotel,Иркутск,"Улица Звездинская, д. 5/1, Иркутск",52.273518,104.256294,https://ostrovok.ru/hotel/russia/irkutsk/mid6827039/gostevoj_dom_na_zvezdinskoj,25,2026-03-17,2026-09-10
hotel_gostinitsa_dinamo,10295894,Отель Динамо,Dinamo Hotel,Иркутск,"улица Баррикад, д.42, Иркутск",52.290123,104.32051,https://ostrovok.ru/hotel/russia/irkutsk/mid10295894/hotel_gostinitsa_dinamo,39,2026-03-17,2026-09-10
yolochka,9992200,Меблированные комнаты Ёлочка,Yolochka,Листвянка,"улица Чапаева, д.8, Листвянка",51.851433,104.87036,https://ostrovok.ru/hotel/russia/irkutsk/mid9992200/yolochka,6,2026-03-17,2026-09-10
